EVENT_DATE,price,tax
2009-08-31,333000.0,0.0
2009-09-30,65000.0,0.0
2009-10-31,209000.0,-0.32242990654205606
2009-11-30,105500.0,0.0
2009-12-31,157500.0,0.0
2010-01-31,178500.0,-0.22585669781931464
2010-02-28,65000.0,0.0
2010-03-31,190000.0,0.0
2010-04-30,90000.0,-0.31853582554517135
2010-05-31,121250.0,-0.4447040498442367
2010-06-30,211000.0,0.0
2010-07-31,167000.0,0.0
2010-08-31,132000.0,-0.7266355140186916
2010-09-30,150000.0,-0.20794392523364486
2010-10-31,82500.0,0.0
2010-11-30,240000.0,0.0
2010-12-31,170000.0,0.0
2011-01-31,148750.0,0.0
2011-02-28,215002.0,0.0
2011-03-31,125000.0,0.0
2011-04-30,231350.0,0.6133177570093458
2011-05-31,98000.0,0.0
2011-06-30,211500.0,0.0
2011-07-31,265000.0,0.0
2011-08-31,138000.0,-0.8894080996884736
2011-09-30,302000.0,0.676791277258567
2011-10-31,179125.0,0.36721183800623053
2011-11-30,157500.0,0.0
2011-12-31,190000.0,0.0
2012-01-31,185000.0,0.0
2012-02-29,152450.0,0.0
2012-03-31,180000.0,0.0
2012-04-30,112890.0,0.0
2012-05-31,183000.0,-0.033099688473520246
2012-06-30,252500.0,0.0
2012-07-31,228800.0,0.0
2012-08-31,194000.0,0.0
2012-09-30,64800.0,0.0
2012-10-31,130000.0,0.0
2012-11-30,117200.0,0.0
2012-12-31,132500.0,0.0
2013-01-31,147500.0,-0.03348909657320872
2013-02-28,225000.0,0.7390965732087228
2013-03-31,242250.0,0.0
2013-04-30,208000.0,0.6923676012461059
2013-05-31,170000.0,0.0
2013-06-30,170000.0,0.0
2013-07-31,116250.0,0.01674454828660436
2013-08-31,188950.0,0.0
2013-09-30,132500.0,0.0
2013-10-31,176000.0,0.0
2013-11-30,157000.0,0.0
2013-12-31,278000.0,0.4447040498442368
2014-01-31,464886.0,2.410436137071651
2014-02-28,192000.0,1.1495327102803738
2014-03-31,140000.0,0.0
2014-04-30,138000.0,-0.09501557632398754
2014-05-31,230950.0,0.017523364485981307
2014-06-30,383000.0,0.0
2014-07-31,154305.5,0.0
2014-08-31,323206.0,1.2001557632398754
2014-09-30,204000.0,0.0
2014-10-31,203000.0,0.0
2014-11-30,121000.0,-1.5521806853582554
2014-12-31,140000.0,0.0
2015-01-31,425250.0,0.07749221183800623
2015-02-28,325000.0,-0.13551401869158877
2015-03-31,129500.0,0.0
2015-04-30,199000.0,-0.42601246105919005
2015-05-31,250500.0,0.0
2015-06-30,220000.0,0.0
2015-07-31,254500.0,0.0
2015-08-31,190000.0,0.0
2015-09-30,306750.0,0.0
2015-10-31,270000.0,0.0
2015-11-30,177000.0,0.0
2015-12-31,279900.0,0.0
2016-01-31,212000.0,0.0
2016-02-29,237950.0,0.0
2016-03-31,179500.0,0.3855140186915888
2016-04-30,220500.0,0.0
2016-05-31,190000.0,0.0
2016-06-30,267500.0,0.0
2016-07-31,213000.0,0.0
2016-08-31,187450.0,0.0
2016-09-30,180350.0,0.0
2016-10-31,209900.0,0.0
2016-11-30,271500.0,0.0
2016-12-31,180000.0,-0.5377725856697819
2017-01-31,153000.0,0.0
2017-02-28,185000.0,0.0
2017-03-31,205000.0,0.0
2017-04-30,185450.0,0.0
2017-05-31,333000.0,0.0
2017-06-30,230000.0,0.0
2017-07-31,141150.0,0.0
2017-08-31,238300.0,0.0
2017-09-30,244000.0,0.0
2017-10-31,255000.0,0.0
2017-11-30,285000.0,0.04361370716510903
2017-12-31,198000.0,0.0
2018-01-31,355000.0,0.0
2018-02-28,311475.0,0.0
2018-03-31,223500.0,0.0
2018-04-30,190000.0,0.0
2018-05-31,197000.0,0.0
2018-06-30,216000.0,0.0
2018-07-31,211500.0,0.0
2018-08-31,250000.0,0.0
2018-09-30,250150.0,0.0
2018-10-31,300350.0,0.07515576323987538
2018-11-30,246900.0,0.0
2018-12-31,300000.0,0.09579439252336448
2019-01-31,201250.0,0.0
2019-02-28,302800.0,0.0
2019-03-31,330000.0,0.0
2019-04-30,230000.0,0.0
2019-05-31,320000.0,0.0
2019-06-30,255000.0,0.0
2019-07-31,280407.5,0.0
2019-08-31,242990.0,0.0
2019-09-30,230000.0,0.0
2019-10-31,279900.0,0.0
2019-11-30,172500.0,-1.0677570093457944
2019-12-31,262500.0,0.0
2020-01-31,259900.0,0.0
2020-02-29,264450.0,0.0
2020-03-31,258000.0,0.0
2020-04-30,234000.0,0.0
2020-05-31,245000.0,0.0
2020-06-30,305950.0,0.0
2020-07-31,322500.0,0.0
2020-08-31,210000.0,0.0
2020-09-30,238000.0,0.0
2020-10-31,315000.0,0.0
2020-11-30,314750.0,0.0
2020-12-31,290000.0,0.0
2021-01-31,295000.0,0.0
2021-02-28,270000.0,0.0
2021-03-31,332850.0,0.0
2021-04-30,281500.0,0.0
2021-05-31,360000.0,0.0
2021-06-30,315000.0,0.0
2021-07-31,335000.0,0.0
2021-08-31,300000.0,0.0
2021-09-30,347500.0,0.0
2021-10-31,342450.0,0.0
2021-11-30,301817.5,0.0
2021-12-31,327950.0,0.0
2022-01-31,290250.0,0.0
2022-02-28,390000.0,0.0
2022-03-31,373000.0,0.0
2022-04-30,390000.0,0.0
2022-05-31,360000.0,0.0
2022-06-30,355050.0,0.0
2022-07-31,300000.0,0.0
2022-08-31,340000.0,0.0
2022-09-30,252500.0,0.0
2022-10-31,345990.0,0.0
2022-11-30,286653.0,0.0
2022-12-31,318000.0,0.0
2023-01-31,382450.0,0.0
2023-02-28,274900.0,0.0
2023-03-31,318000.0,-0.08644859813084112
2023-04-30,353350.0,0.0
2023-05-31,502500.0,0.0
2023-06-30,340000.0,0.0
2023-07-31,340000.0,0.0
2023-08-31,362500.0,0.0
2023-09-30,335000.0,0.0
